# mesh name: dosimeterMesh
# primitive scorer name: doseDep
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
9,9,26,3.477238921542211e-10,3.663543136182242e-22,645
9,9,27,2.564372970005367e-10,2.717226077402136e-22,444
9,9,28,5.084248888709865e-11,5.231577310874987e-23,440
9,9,29,1.372425781244418e-11,1.05855276988466e-23,280
9,9,30,3.571505583622666e-12,1.633327355171377e-24,164
9,9,31,4.420360830974939e-12,2.9649769073342e-24,9
9,9,32,5.713488453641755e-12,5.804616220525679e-24,9
9,9,33,2.166730681161367e-12,1.100194379539524e-24,5
9,9,34,2.66095143508172e-12,1.482006856834605e-24,7
9,9,35,1.087335256147279e-12,2.461242618651563e-25,128
9,9,36,1.885554183443696e-13,2.09256865358242e-27,51
9,9,37,6.056212280448168e-14,1.78815759439066e-27,6
9,9,38,0,0,0
9,9,39,3.672063465755551e-15,1.348405009653667e-29,1
9,10,0,8.006088976096728e-15,5.165820663578482e-29,2
9,10,1,0,0,0
9,10,2,2.32146593093611e-14,2.656684774653874e-28,5
9,10,3,2.483097394306242e-13,7.34281877336163e-27,22
9,10,4,1.569540801481078e-12,8.553125096917313e-25,71
9,10,5,5.25005978781082e-12,3.410583422887179e-24,110
9,10,6,7.537225709072013e-12,6.150691058627399e-24,12
9,10,7,9.237976806101873e-12,6.828478336520609e-24,19
9,10,8,6.009105717028676e-12,4.32418637887566e-24,13
9,10,9,1.419414352382941e-11,1.601438586558364e-23,19
9,10,10,1.199439644346502e-11,8.822218796574452e-24,21
9,10,11,1.357867983768528e-11,1.025833379615089e-23,25
9,10,12,1.621084908924351e-11,1.220932001461974e-23,29
9,10,13,1.971577503350723e-11,1.420389182360337e-23,39
9,10,14,2.636972543363777e-11,2.144989889605943e-23,47
9,10,15,3.014792219328713e-11,1.971451103095012e-23,62
9,10,16,4.075850658392058e-11,2.984721320368338e-23,73
9,10,17,5.178217318651064e-11,4.036938765272561e-23,97
9,10,18,7.021384225525583e-11,5.655796966966423e-23,128
9,10,19,8.664619128234145e-11,8.160719227194549e-23,150
9,10,20,1.029342353417695e-10,8.225494722781142e-23,192
9,10,21,1.25992816166351e-10,1.101929244589503e-22,251
9,10,22,1.504123055194178e-10,1.579318921820862e-22,265
9,10,23,1.402093699994338e-10,1.243517215414562e-22,273
9,10,24,1.619531479212451e-10,2.049479169574615e-22,263
9,10,25,1.531357934428662e-10,1.889635350435473e-22,256
9,10,26,1.072024852449691e-10,9.716722870318114e-23,220
9,10,27,7.229969341444681e-11,7.437099245700221e-23,119
9,10,28,1.844716815046039e-11,1.946044850982291e-23,34
9,10,29,1.029051974299309e-11,1.33995761836162e-23,12
9,10,30,8.094366747319932e-12,9.547592885690299e-24,10
9,10,31,4.795578217773903e-12,2.853525603690725e-24,9
9,10,32,2.549584186690656e-12,1.525854335835992e-24,7
9,10,33,5.152872176878757e-12,6.669389677281249e-24,6
9,10,34,2.715538494603056e-12,2.028747554955584e-24,4
9,10,35,1.759916731958826e-12,1.164254997177202e-24,171
9,10,36,2.567132269588425e-13,3.482788756038586e-27,61
9,10,37,6.794929679479707e-14,9.552076359944332e-28,6
9,10,38,0,0,0
9,10,39,1.583838949289454e-14,1.196432504686967e-28,4
9,11,0,1.426992336347797e-13,1.499243739719093e-26,5
9,11,1,0,0,0
9,11,2,3.082665309195917e-14,1.840594521874517e-28,9
9,11,3,7.549458661717034e-13,1.78978872054852e-25,20
9,11,4,1.866296131484309e-12,4.849248756971892e-25,61
9,11,5,7.597291560701717e-12,6.077431689042893e-24,108
9,11,6,9.146715206499608e-12,8.939461991385227e-24,16
9,11,7,1.452023584252299e-11,1.278061126069822e-23,26
9,11,8,1.631314198714255e-11,1.463681797416177e-23,25
9,11,9,2.554046639901477e-11,1.006155984013312e-22,31
9,11,10,1.634592942065245e-11,1.180845002854183e-23,34
9,11,11,2.488654374481406e-11,1.830970620077298e-23,46
9,11,12,3.295453519838004e-11,2.573854526992627e-23,55
9,11,13,3.104431013817655e-11,2.152859774374851e-23,59
9,11,14,3.855324803760128e-11,3.600938111628918e-23,69
9,11,15,3.185918810943001e-11,1.817011422802967e-23,78
9,11,16,3.593999593944373e-11,2.680862209248046e-23,75
9,11,17,4.55370079024749e-11,3.382320978187437e-23,88
9,11,18,4.297176622517589e-11,2.932752956881259e-23,89
9,11,19,4.489299719439069e-11,3.543305199756057e-23,97
9,11,20,4.942145164638296e-11,3.671622096390255e-23,103
9,11,21,6.430523143627733e-11,5.772286705912643e-23,126
9,11,22,6.807616228538166e-11,5.173918394264323e-23,146
9,11,23,9.071014636147596e-11,9.17488679430476e-23,159
9,11,24,8.251274625318462e-11,8.588179141221397e-23,133
9,11,25,6.735306033489176e-11,5.868205610613093e-23,133
9,11,26,4.824502495117677e-11,4.507629509683467e-23,94
9,11,27,3.997106797800522e-11,5.53828815970865e-23,50
9,11,28,9.702472959237227e-12,7.285487675363526e-24,17
9,11,29,3.858385466883785e-12,2.534440543163373e-24,9
9,11,30,4.32897119627464e-12,4.602922845539274e-24,7
9,11,31,2.369490946987701e-12,1.22694315862211e-24,5
9,11,32,1.351731493440247e-12,7.096926429581169e-25,5
9,11,33,8.165703378465127e-12,2.613866978605938e-23,8
9,11,34,1.71275176173366e-12,7.653277044139129e-25,4
9,11,35,2.341505254892465e-12,3.002474476011699e-24,209
9,11,36,5.066677200410802e-13,1.239225126072951e-26,90
9,11,37,7.542188749229207e-14,9.477629832895416e-28,13
9,11,38,0,0,0
9,11,39,5.242000942552891e-15,2.635615422541701e-29,3
9,12,0,2.546780773685228e-13,5.54969677515276e-26,6
9,12,1,0,0,0
9,12,2,7.643172369255179e-14,3.168532520380669e-27,6
9,12,3,1.881040196987665e-13,8.145969930392166e-27,15
9,12,4,1.634457366369887e-12,3.535979131902828e-25,57
9,12,5,8.525136256319193e-12,4.694486863009468e-24,78
9,12,6,1.431617563641077e-11,9.450399363055393e-24,31
9,12,7,1.85234927707461e-11,1.340047574652661e-23,35
9,12,8,2.4976348583222e-11,1.942525303520112e-23,45
