# mesh name: dosimeterMesh
# primitive scorer name: doseDep
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
9,6,3,3.08365847390192e-11,1.696812955974786e-24,2795
9,6,4,9.482708689087887e-11,5.482090320924586e-24,8362
9,6,5,4.90870226975712e-10,2.754511177226542e-22,11567
9,6,6,7.806964857383221e-10,1.066781227459427e-21,1454
9,6,7,8.387822670415595e-10,1.141090211542277e-21,1598
9,6,8,8.819592553979753e-10,1.177581430709655e-21,1652
9,6,9,9.436708544894338e-10,9.888320350111245e-22,1753
9,6,10,9.903653191228879e-10,1.018203192368353e-21,1880
9,6,11,1.100238987952621e-09,1.172919218486429e-21,2143
9,6,12,1.227034683040895e-09,1.299053967731953e-21,2292
9,6,13,1.33275275110859e-09,1.344246397167189e-21,2601
9,6,14,1.519296172638941e-09,1.53668657227789e-21,2919
9,6,15,1.809657036399415e-09,1.759140685309454e-21,3435
9,6,16,2.031942961522277e-09,1.881103812094041e-21,3949
9,6,17,2.650595017842096e-09,2.661159501199332e-21,4817
9,6,18,3.44387431708528e-09,3.446809882975358e-21,36392
9,6,19,6.743400525990782e-09,5.646890865661525e-21,84656
9,6,20,1.541711384365584e-08,1.16550086245197e-20,83975
9,6,21,4.005863232077557e-08,4.233236148645507e-20,69881
9,6,22,4.06993281703864e-08,5.470757566033927e-20,67088
9,6,23,3.996299038652022e-08,4.804763834266193e-20,67302
9,6,24,3.989582374832134e-08,4.025750134093309e-20,69728
9,6,25,4.016485000006048e-08,4.026307737578225e-20,73071
9,6,26,3.852704000004982e-08,3.841139043657964e-20,71901
9,6,27,2.553613066241153e-08,2.683006470934888e-20,49000
9,6,28,5.471827700541628e-09,5.480604847625437e-21,43891
9,6,29,1.597020567690041e-09,1.526440029694795e-21,32986
9,6,30,5.379171188549883e-10,4.412246292929311e-22,19063
9,6,31,3.20502551882274e-10,6.582588430068832e-22,477
9,6,32,2.333820057562688e-10,2.427552505792511e-22,435
9,6,33,1.793299663677572e-10,1.68414304141188e-22,366
9,6,34,1.797546483814747e-10,4.055948310249547e-22,288
9,6,35,1.272094089106933e-10,1.891083300945648e-22,12771
9,6,36,2.738065053647462e-11,6.141372534653178e-25,5698
9,6,37,7.032217122893103e-12,1.449866508180844e-24,927
9,6,38,4.266089478663072e-12,5.941865532040462e-24,9
9,6,39,2.545415940615921e-12,1.863359704364732e-25,282
9,7,0,5.99958090529114e-12,5.709143507429683e-25,328
9,7,1,8.869084017706845e-12,7.285363963023466e-24,18
9,7,2,1.335501877343973e-11,1.10895955990027e-24,1053
9,7,3,4.895382810329991e-11,3.019652664079385e-24,3771
9,7,4,1.4468532308139e-10,7.968250706885097e-24,11395
9,7,5,5.611535501760357e-10,3.185321081203565e-22,14036
9,7,6,8.229705058885799e-10,1.219208969167252e-21,1504
9,7,7,8.123883761389836e-10,8.145421950042033e-22,1583
9,7,8,8.547709704322472e-10,9.870281012049013e-22,1594
9,7,9,9.011506903107379e-10,1.114192270744831e-21,1713
9,7,10,9.220963637823946e-10,8.442973000319274e-22,1796
9,7,11,1.079396160731839e-09,1.39608689817513e-21,1967
9,7,12,1.107848440617022e-09,1.096960176886572e-21,2144
9,7,13,1.303310734553617e-09,1.428139673547936e-21,2399
9,7,14,1.413663866012206e-09,1.431893378117881e-21,2686
9,7,15,1.726418516163062e-09,1.980452777515476e-21,3170
9,7,16,2.084779833188928e-09,3.013574017867624e-21,3928
9,7,17,3.056158397390991e-09,4.903490889584346e-21,5612
9,7,18,7.695918952200735e-09,2.851161121304485e-21,311675
9,7,19,1.41247213506272e-06,7.898733117970151e-19,7005865
9,7,20,2.122852667928209e-06,1.889251414688443e-18,5210591
9,7,21,2.077059742123154e-06,1.939843545379186e-18,2832907
9,7,22,2.073339654486831e-06,1.873019663552768e-18,2722761
9,7,23,2.081303966997181e-06,1.83690796639392e-18,2753679
9,7,24,2.094557863912317e-06,1.86413958544145e-18,2801071
9,7,25,2.1156488177674e-06,1.901702746678634e-18,2877139
9,7,26,2.153339171451365e-06,1.907374623458625e-18,3035476
9,7,27,2.214187544490309e-06,1.831300921340566e-18,3639660
9,7,28,2.074505635206261e-06,1.498985165218513e-18,4763666
9,7,29,1.007836049674923e-06,4.1637365737632e-19,5544561
9,7,30,2.010248754267205e-09,2.41790890399074e-21,35473
9,7,31,2.505373899005575e-10,4.510945217583169e-22,433
9,7,32,2.401740443895809e-10,4.53038790720408e-22,409
9,7,33,2.482723080684193e-10,7.400883874907194e-22,387
9,7,34,2.038906304087894e-10,3.236141103444013e-22,350
9,7,35,1.708757254175059e-10,3.167251375665607e-22,16869
9,7,36,3.707140124842471e-11,7.920303497750269e-25,7767
9,7,37,8.185442290009882e-12,8.404809852855165e-25,1169
9,7,38,3.862370072601786e-12,2.717335726594506e-24,10
9,7,39,2.570787071582799e-12,1.165842681865602e-25,323
9,8,0,7.369342945912217e-12,1.164359719916051e-24,338
9,8,1,8.388294422854849e-12,5.696207634243772e-24,18
9,8,2,1.692445588292308e-11,4.839962602269406e-24,1059
9,8,3,4.645763680291875e-11,2.701752582482239e-24,3708
9,8,4,1.43186402053938e-10,7.290857564625783e-24,11364
9,8,5,5.400050809079039e-10,4.040337486993056e-22,13999
9,8,6,7.900377288456569e-10,1.193955809172287e-21,1462
9,8,7,7.545357171838877e-10,8.490827736476984e-22,1455
9,8,8,7.802012564522584e-10,7.750713481318725e-22,1521
9,8,9,8.552735590836976e-10,7.441810857470477e-22,1681
9,8,10,9.176358315638047e-10,1.098549946173899e-21,1779
9,8,11,9.939634579113132e-10,1.009220219493415e-21,1891
9,8,12,1.127035107601013e-09,1.024701661544073e-21,2125
9,8,13,1.267520692869256e-09,1.370793904598353e-21,2369
9,8,14,1.391317323932716e-09,1.499366202711581e-21,2601
9,8,15,1.659632422541089e-09,1.970879680746985e-21,2976
9,8,16,2.037654916166392e-09,2.244780352446913e-21,3796
9,8,17,2.927372051297539e-09,3.08098739617358e-21,5549
9,8,18,7.687262498091759e-09,2.949814005688645e-21,311380
9,8,19,1.409256201240658e-06,7.879884617182463e-19,7001166
9,8,20,2.117209881428173e-06,1.864904758024483e-18,5203849
9,8,21,2.071523230173365e-06,1.969792539612116e-18,2825337
9,8,22,2.065403781646293e-06,1.957933362857507e-18,2714588
9,8,23,2.073394490596385e-06,1.835811324649468e-18,2744586
9,8,24,2.08891280270873e-06,1.85974095662893e-18,2792401
9,8,25,2.111750786404951e-06,1.86338467885047e-18,2870115
9,8,26,2.146924962933759e-06,1.860008835684612e-18,3028051
9,8,27,2.206190745145435e-06,1.798815497281961e-18,3628115
9,8,28,2.057630977177751e-06,1.449199091952034e-18,4747980
9,8,29,9.982400224809482e-07,4.111411332539357e-19,3512391
9,8,30,2.078516629057001e-09,2.688735535701191e-21,35424
9,8,31,2.681633676295722e-10,8.464773295168162e-22,412
9,8,32,2.291365394868919e-10,4.405910284801051e-22,379
9,8,33,2.291585019197846e-10,1.472682594261957e-21,337
9,8,34,2.109009244380487e-10,6.159155752036883e-22,304
9,8,35,1.425784256576454e-10,8.760359575115366e-23,16393
9,8,36,3.6364967658977e-11,8.427022143630365e-25,7520
9,8,37,6.475806252505233e-12,1.647267297036476e-25,1129
9,8,38,2.452807195787708e-12,1.659080018682507e-24,6
9,8,39,2.418833367891694e-12,9.058732593346975e-26,305
9,9,0,5.038083316692829e-12,4.124787429454094e-25,324
9,9,1,8.872416665687484e-12,1.15386448479333e-23,10
9,9,2,9.538616623357008e-12,1.11807581966555e-24,780
9,9,3,2.978611470987595e-11,1.637757738643999e-24,2659
9,9,4,9.558375542672046e-11,5.534132443098673e-24,8306
9,9,5,4.833482579451102e-10,3.027261583623506e-22,11370
9,9,6,7.441804517606911e-10,8.714767832312494e-22,1390
9,9,7,7.899176553919321e-10,7.890351963670821e-22,1543
9,9,8,8.335914232791538e-10,8.559755694283797e-22,1589
9,9,9,8.842178408838968e-10,8.851483488744455e-22,1675
9,9,10,9.341436402908643e-10,9.619048113435293e-22,1748
9,9,11,9.979667886531258e-10,1.098598831645771e-21,1850
9,9,12,1.10198287383154e-09,1.124644338641919e-21,2044
9,9,13,1.235561500189825e-09,1.41108152541975e-21,2333
9,9,14,1.459389392200543e-09,1.647644187141437e-21,2691
9,9,15,1.635054849052148e-09,1.728301385230137e-21,2938
9,9,16,2.027246107960169e-09,2.30078589540185e-21,3625
9,9,17,2.570386801675418e-09,3.28999541215873e-21,4482
9,9,18,3.216449700860329e-09,3.036616866646608e-21,35444
9,9,19,6.569081049894582e-09,5.896202549273668e-21,83191
9,9,20,1.506354046431121e-08,1.121262244383371e-20,82236
9,9,21,3.961997595336144e-08,4.06407885817752e-20,68704
9,9,22,3.992125569657022e-08,4.094909334583992e-20,66157
9,9,23,3.957911053443898e-08,4.674277474971957e-20,66785
9,9,24,3.991082657563446e-08,4.135255002221914e-20,69654
