# mesh name: dosimeterMesh
# primitive scorer name: nOfTrackNeutron
# iX, iY, iZ, total(value) , total(val^2), entry
0,15,29,7,13,4
0,15,30,7,15,4
0,15,31,10,16,7
0,15,32,9,17,5
0,15,33,12,24,6
0,15,34,18,36,9
0,15,35,25,151,8
0,15,36,17,45,9
0,15,37,8,16,4
0,15,38,24,150,7
0,15,39,15,113,3
0,16,0,0,0,0
0,16,1,4,8,2
0,16,2,2,4,1
0,16,3,2,4,1
0,16,4,6,12,3
0,16,5,8,16,4
0,16,6,6,12,3
0,16,7,9,15,6
0,16,8,6,10,4
0,16,9,6,10,4
0,16,10,7,13,4
0,16,11,11,25,5
0,16,12,5,9,3
0,16,13,11,21,6
0,16,14,20,70,7
0,16,15,18,58,7
0,16,16,30,108,12
0,16,17,17,39,8
0,16,18,16,80,5
0,16,19,5,9,3
0,16,20,27,67,13
0,16,21,27,109,10
0,16,22,9,25,4
0,16,23,26,74,12
0,16,24,12,22,7
0,16,25,17,35,9
0,16,26,21,55,10
0,16,27,28,156,10
0,16,28,10,20,5
0,16,29,27,85,11
0,16,30,16,32,9
0,16,31,13,21,9
0,16,32,9,15,6
0,16,33,4,6,3
0,16,34,11,25,5
0,16,35,11,25,5
0,16,36,10,26,5
0,16,37,13,33,6
0,16,38,2,4,1
0,16,39,0,0,0
0,17,0,0,0,0
0,17,1,2,4,1
0,17,2,3,5,2
0,17,3,2,4,1
0,17,4,5,9,3
0,17,5,1,1,1
0,17,6,8,24,3
0,17,7,10,18,6
0,17,8,5,9,3
0,17,9,18,60,6
0,17,10,23,61,10
0,17,11,0,0,0
0,17,12,6,26,2
0,17,13,15,37,7
0,17,14,6,8,5
0,17,15,29,127,11
0,17,16,20,76,8
0,17,17,40,102,19
0,17,18,24,76,10
0,17,19,8,16,4
0,17,20,4,8,2
0,17,21,15,27,9
0,17,22,8,14,5
0,17,23,19,45,9
0,17,24,14,36,6
0,17,25,17,31,10
0,17,26,23,53,12
0,17,27,23,127,8
0,17,28,17,31,10
0,17,29,17,57,7
0,17,30,9,17,5
0,17,31,12,22,7
0,17,32,21,41,11
0,17,33,14,28,7
0,17,34,9,17,5
0,17,35,18,68,6
0,17,36,5,9,3
0,17,37,12,22,7
0,17,38,12,24,6
0,17,39,0,0,0
0,18,0,0,0,0
0,18,1,9,21,4
0,18,2,5,9,3
0,18,3,4,16,1
0,18,4,4,8,2
0,18,5,2,4,1
0,18,6,4,8,2
0,18,7,12,36,6
0,18,8,8,18,4
0,18,9,5,7,4
0,18,10,15,43,7
0,18,11,8,16,4
0,18,12,18,92,5
0,18,13,15,29,8
0,18,14,19,43,10
0,18,15,29,131,9
0,18,16,19,55,8
0,18,17,14,36,6
0,18,18,12,38,5
0,18,19,13,25,7
0,18,20,5,9,3
0,18,21,8,22,3
0,18,22,12,62,3
0,18,23,4,8,2
0,18,24,18,82,5
0,18,25,14,42,6
0,18,26,12,20,8
0,18,27,19,45,9
0,18,28,19,35,11
0,18,29,11,25,5
0,18,30,24,52,12
0,18,31,17,41,8
0,18,32,15,95,4
0,18,33,7,21,3
0,18,34,5,9,3
0,18,35,22,76,8
0,18,36,4,8,2
0,18,37,9,17,5
0,18,38,14,30,7
0,18,39,0,0,0
0,19,0,0,0,0
0,19,1,0,0,0
0,19,2,0,0,0
0,19,3,1,1,1
0,19,4,0,0,0
0,19,5,0,0,0
0,19,6,0,0,0
0,19,7,0,0,0
0,19,8,4,16,1
0,19,9,0,0,0
0,19,10,0,0,0
0,19,11,2,4,1
0,19,12,3,9,1
0,19,13,0,0,0
0,19,14,0,0,0
0,19,15,0,0,0
0,19,16,0,0,0
0,19,17,2,4,1
0,19,18,3,5,2
0,19,19,0,0,0
0,19,20,0,0,0
0,19,21,0,0,0
0,19,22,5,17,2
0,19,23,4,16,1
0,19,24,4,16,1
0,19,25,2,4,1
0,19,26,14,148,2
0,19,27,5,13,2
0,19,28,2,4,1
0,19,29,2,4,1
0,19,30,0,0,0
0,19,31,0,0,0
0,19,32,9,81,1
0,19,33,3,9,1
0,19,34,0,0,0
0,19,35,15,85,4
0,19,36,5,13,2
0,19,37,0,0,0
0,19,38,0,0,0
0,19,39,0,0,0
1,0,0,0,0,0
1,0,1,0,0,0
1,0,2,0,0,0
1,0,3,2,4,1
1,0,4,2,4,1
1,0,5,2,4,1
1,0,6,7,29,2
1,0,7,2,4,1
1,0,8,12,40,4
1,0,9,6,18,3
1,0,10,25,137,8
1,0,11,20,118,7
1,0,12,2,4,1
1,0,13,3,9,1
1,0,14,10,20,5
1,0,15,11,43,5
1,0,16,13,49,5
1,0,17,6,10,4
1,0,18,10,28,4
1,0,19,14,46,5
1,0,20,23,53,11
1,0,21,21,75,8
1,0,22,20,54,9
1,0,23,22,52,10
1,0,24,8,18,4
1,0,25,14,30,7
1,0,26,11,21,6
1,0,27,18,38,9
1,0,28,22,84,7
1,0,29,15,35,7
1,0,30,18,58,8
1,0,31,17,49,7
1,0,32,13,35,6
1,0,33,21,103,8
1,0,34,25,169,8
1,0,35,29,169,9
1,0,36,15,53,6
1,0,37,12,72,3
1,0,38,11,45,4
1,0,39,0,0,0
1,1,0,3,5,2
1,1,1,1,1,1
1,1,2,0,0,0
1,1,3,5,13,2
1,1,4,8,16,5
1,1,5,5,7,4
1,1,6,12,28,7
1,1,7,12,26,8
1,1,8,19,51,9
1,1,9,20,30,15
1,1,10,24,42,17
1,1,11,28,50,18
1,1,12,17,27,13
1,1,13,14,18,12
1,1,14,22,48,13
1,1,15,25,49,16
1,1,16,26,44,20
1,1,17,32,62,21
1,1,18,40,84,25
1,1,19,35,79,21
1,1,20,35,79,21
1,1,21,41,97,22
1,1,22,58,128,32
1,1,23,51,127,31
1,1,24,31,59,20
1,1,25,36,76,21
1,1,26,32,64,19
1,1,27,34,70,20
1,1,28,39,91,22
1,1,29,35,69,23
1,1,30,28,48,19
1,1,31,35,77,21
1,1,32,38,80,24
1,1,33,27,43,20
1,1,34,23,35,17
1,1,35,26,68,16
1,1,36,27,47,18
1,1,37,23,43,15
1,1,38,24,60,12
1,1,39,15,65,5
1,2,0,2,4,1
1,2,1,2,4,1
1,2,2,6,20,2
1,2,3,5,13,2
1,2,4,3,5,2
1,2,5,10,30,4
1,2,6,14,52,6
1,2,7,7,13,4
1,2,8,22,70,9
1,2,9,19,47,11
1,2,10,13,21,9
1,2,11,12,18,9
1,2,12,28,106,10
1,2,13,20,74,8
1,2,14,39,161,14
1,2,15,21,49,11
1,2,16,26,60,15
1,2,17,22,38,14
1,2,18,20,62,10
1,2,19,36,120,16
1,2,20,39,199,13
1,2,21,55,283,19
1,2,22,74,336,27
1,2,23,39,101,23
1,2,24,53,277,20
1,2,25,43,235,17
1,2,26,40,172,18
1,2,27,25,73,12
1,2,28,25,55,14
1,2,29,22,38,14
1,2,30,11,13,10
1,2,31,30,82,17
1,2,32,38,120,18
1,2,33,29,63,17
1,2,34,23,49,14
1,2,35,34,120,14
1,2,36,34,184,13
1,2,37,34,104,15
1,2,38,27,57,16
1,2,39,16,64,5
1,3,0,4,16,1
1,3,1,7,21,3
1,3,2,10,58,2
1,3,3,5,13,2
1,3,4,8,64,1
1,3,5,1,1,1
1,3,6,4,16,1
1,3,7,7,13,4
1,3,8,10,32,5
1,3,9,19,67,7
1,3,10,20,76,7
1,3,11,1,1,1
1,3,12,10,20,6
1,3,13,16,34,9
1,3,14,23,117,8
1,3,15,18,74,7
1,3,16,32,224,7
1,3,17,35,203,10
1,3,18,21,67,8
1,3,19,13,37,7
1,3,20,33,129,12
1,3,21,61,407,13
1,3,22,54,340,12
1,3,23,19,69,7
1,3,24,34,326,6
1,3,25,17,49,8
1,3,26,16,76,5
1,3,27,21,97,6
1,3,28,14,48,6
1,3,29,6,10,4
1,3,30,12,56,5
1,3,31,24,136,8
1,3,32,31,305,8
1,3,33,17,61,7
1,3,34,11,45,4
1,3,35,6,18,3
1,3,36,27,195,7
1,3,37,24,136,7
1,3,38,24,46,17
1,3,39,18,70,6
1,4,0,5,25,1
1,4,1,6,14,3
1,4,2,9,21,4
1,4,3,2,4,1
1,4,4,19,149,3
1,4,5,10,38,3
1,4,6,1,1,1
1,4,7,14,98,3
1,4,8,27,131,8
1,4,9,42,172,12
1,4,10,30,256,7
1,4,11,15,107,5
1,4,12,23,179,6
1,4,13,15,49,7
1,4,14,35,151,11
1,4,15,25,151,9
1,4,16,27,145,6
1,4,17,12,30,6
1,4,18,14,38,6
1,4,19,25,71,12
1,4,20,38,120,16
1,4,21,24,126,9
1,4,22,15,31,8
1,4,23,20,74,7
1,4,24,20,56,9
1,4,25,27,165,8
1,4,26,27,119,11
1,4,27,29,123,12
1,4,28,24,60,11
1,4,29,16,40,7
1,4,30,43,465,9
1,4,31,43,289,12
1,4,32,20,72,7
1,4,33,29,127,9
1,4,34,16,40,8
1,4,35,11,25,6
1,4,36,14,44,6
1,4,37,34,112,15
1,4,38,41,85,25
1,4,39,15,53,5
1,5,0,3,5,2
1,5,1,6,10,4
1,5,2,3,5,2
1,5,3,8,22,4
1,5,4,13,123,3
1,5,5,7,15,4
1,5,6,4,8,2
1,5,7,23,51,12
1,5,8,34,126,16
1,5,9,47,181,19
1,5,10,16,26,12
1,5,11,18,36,12
1,5,12,17,29,12
1,5,13,19,63,7
1,5,14,55,227,23
1,5,15,56,254,23
1,5,16,33,109,14
1,5,17,21,41,13
1,5,18,31,103,15
1,5,19,40,102,20
1,5,20,59,237,25
1,5,21,55,267,21
1,5,22,42,112,21
1,5,23,41,147,16
1,5,24,41,121,21
1,5,25,43,123,22
1,5,26,44,126,23
1,5,27,43,137,22
1,5,28,59,173,31
1,5,29,39,115,19
1,5,30,33,97,16
1,5,31,31,81,15
1,5,32,38,124,17
1,5,33,34,92,16
1,5,34,21,73,11
1,5,35,36,132,14
1,5,36,17,45,9
1,5,37,22,46,14
1,5,38,29,45,22
1,5,39,7,13,4
1,6,0,0,0,0
1,6,1,2,4,1
1,6,2,4,4,4
1,6,3,10,22,7
1,6,4,14,34,8
1,6,5,17,29,11
1,6,6,16,22,13
1,6,7,30,64,20
1,6,8,19,27,15
1,6,9,18,26,14
1,6,10,18,24,15
1,6,11,22,32,18
1,6,12,26,48,17
1,6,13,32,50,23
1,6,14,32,46,25
1,6,15,40,66,29
1,6,16,37,51,30
1,6,17,29,37,25
1,6,18,33,59,22
1,6,19,40,66,30
1,6,20,52,90,37
1,6,21,38,64,27
1,6,22,44,66,33
1,6,23,38,70,28
1,6,24,47,91,31
1,6,25,51,83,38
1,6,26,58,92,43
1,6,27,50,76,39
1,6,28,55,79,44
1,6,29,49,77,35
1,6,30,36,56,27
1,6,31,32,46,25
1,6,32,26,36,22
1,6,33,27,39,22
1,6,34,24,34,19
1,6,35,28,44,21
1,6,36,30,48,22
1,6,37,26,46,17
1,6,38,25,39,18
1,6,39,15,29,8
1,7,0,0,0,0
1,7,1,2,2,2
1,7,2,5,5,5
1,7,3,8,16,5
1,7,4,10,14,8
1,7,5,12,28,7
1,7,6,20,34,14
1,7,7,23,39,16
1,7,8,22,28,19
1,7,9,23,33,18
1,7,10,15,17,14
1,7,11,35,51,28
1,7,12,30,40,25
1,7,13,30,48,23
1,7,14,34,64,23
1,7,15,40,54,33
1,7,16,37,51,30
1,7,17,45,69,34
1,7,18,50,78,38
1,7,19,55,67,49
1,7,20,71,127,49
1,7,21,47,65,39
1,7,22,50,64,43
1,7,23,51,71,41
1,7,24,51,77,38
1,7,25,45,69,36
1,7,26,59,113,41
1,7,27,56,86,42
1,7,28,49,89,34
1,7,29,56,80,45
1,7,30,43,69,32
1,7,31,38,58,29
1,7,32,46,84,33
1,7,33,41,67,31
1,7,34,46,68,35
1,7,35,39,71,26
1,7,36,29,43,23
1,7,37,22,30,18
1,7,38,30,72,16
1,7,39,15,35,8
1,8,0,3,9,1
1,8,1,7,19,3
1,8,2,4,6,3
1,8,3,7,9,6
1,8,4,6,6,6
1,8,5,14,24,9
1,8,6,23,43,15
1,8,7,18,24,15
1,8,8,23,31,19
1,8,9,17,21,15
1,8,10,15,25,11
1,8,11,23,29,20
1,8,12,34,44,29
1,8,13,38,56,30
1,8,14,39,67,28
1,8,15,46,78,32
1,8,16,51,85,36
1,8,17,57,87,44
1,8,18,48,62,41
1,8,19,59,101,45
1,8,20,64,88,54
